Contig	Ten_total	Twenty_total
QPX_transcriptome_v1_Contig_2077	7459	4841
QPX_transcriptome_v1_Contig_2078	1331	507
QPX_transcriptome_v1_Contig_2079	748	658
QPX_transcriptome_v1_Contig_208	52731	34244
QPX_transcriptome_v1_Contig_2080	1212	533
QPX_transcriptome_v1_Contig_2081	1852	547
QPX_transcriptome_v1_Contig_2082	2105	1014
QPX_transcriptome_v1_Contig_2083	1003	403
QPX_transcriptome_v1_Contig_2084	1764	792
QPX_transcriptome_v1_Contig_2085	1737	355
QPX_transcriptome_v1_Contig_2086	6464	4119
QPX_transcriptome_v1_Contig_2087	4562	2861
QPX_transcriptome_v1_Contig_2088	5120	2828
QPX_transcriptome_v1_Contig_2089	2393	1128
QPX_transcriptome_v1_Contig_209	4306	1746
QPX_transcriptome_v1_Contig_2090	16307	8051
QPX_transcriptome_v1_Contig_2091	1248	235
QPX_transcriptome_v1_Contig_2092	12228	10271
QPX_transcriptome_v1_Contig_2093	3202	2356
QPX_transcriptome_v1_Contig_2094	1868	767
QPX_transcriptome_v1_Contig_2095	4780	1723
QPX_transcriptome_v1_Contig_2096	5406	4625
QPX_transcriptome_v1_Contig_2097	170	182
QPX_transcriptome_v1_Contig_2098	1580	1484
QPX_transcriptome_v1_Contig_2099	410	322
QPX_transcriptome_v1_Contig_21	290450	188785
QPX_transcriptome_v1_Contig_210	64271	65697
QPX_transcriptome_v1_Contig_2100	5014	2927
QPX_transcriptome_v1_Contig_2101	2674	1557
QPX_transcriptome_v1_Contig_2102	1565	878
QPX_transcriptome_v1_Contig_2103	1802	816
QPX_transcriptome_v1_Contig_2104	7112	2705
QPX_transcriptome_v1_Contig_2105	181	149
QPX_transcriptome_v1_Contig_2106	1572	535
QPX_transcriptome_v1_Contig_2107	1422	868
QPX_transcriptome_v1_Contig_2108	4265	1853
QPX_transcriptome_v1_Contig_2109	2499	588
QPX_transcriptome_v1_Contig_211	6591	3070
QPX_transcriptome_v1_Contig_2110	5594	4945
QPX_transcriptome_v1_Contig_2111	21966	6074
QPX_transcriptome_v1_Contig_2112	1427	812
QPX_transcriptome_v1_Contig_2113	1725	1195
QPX_transcriptome_v1_Contig_2114	3827	2354
QPX_transcriptome_v1_Contig_2115	2852	1735
QPX_transcriptome_v1_Contig_2116	180	117
QPX_transcriptome_v1_Contig_2117	960	624
QPX_transcriptome_v1_Contig_2118	2876	2427
QPX_transcriptome_v1_Contig_2119	335	248
QPX_transcriptome_v1_Contig_212	48598	60397
QPX_transcriptome_v1_Contig_2120	4797	4614
QPX_transcriptome_v1_Contig_2121	5660	1321
QPX_transcriptome_v1_Contig_2122	5818	2553
QPX_transcriptome_v1_Contig_2123	586	122
QPX_transcriptome_v1_Contig_2124	3746	1568
QPX_transcriptome_v1_Contig_2125	16777	10238
QPX_transcriptome_v1_Contig_2126	4090	2622
QPX_transcriptome_v1_Contig_2127	2945	2192
QPX_transcriptome_v1_Contig_2128	462	331
QPX_transcriptome_v1_Contig_2129	616	334
QPX_transcriptome_v1_Contig_213	72545	26520
QPX_transcriptome_v1_Contig_2130	2665	2138
QPX_transcriptome_v1_Contig_2131	1428	1028
QPX_transcriptome_v1_Contig_2132	4346	1887
QPX_transcriptome_v1_Contig_2133	815	372
QPX_transcriptome_v1_Contig_2134	1877	990
QPX_transcriptome_v1_Contig_2135	8262	4492
QPX_transcriptome_v1_Contig_2136	3538	1858
QPX_transcriptome_v1_Contig_2137	2122	1533
QPX_transcriptome_v1_Contig_2138	6847	2900
QPX_transcriptome_v1_Contig_2139	3658	2054
QPX_transcriptome_v1_Contig_214	55634	35706
QPX_transcriptome_v1_Contig_2140	1601	721
QPX_transcriptome_v1_Contig_2141	641	83
QPX_transcriptome_v1_Contig_2142	363	250
QPX_transcriptome_v1_Contig_2143	1638	503
QPX_transcriptome_v1_Contig_2144	10719	5379
QPX_transcriptome_v1_Contig_2145	4421	2129
QPX_transcriptome_v1_Contig_2146	293	152
QPX_transcriptome_v1_Contig_2147	16346	4958
QPX_transcriptome_v1_Contig_2148	2072	1938
QPX_transcriptome_v1_Contig_2149	2534	1387
QPX_transcriptome_v1_Contig_215	61708	34280
QPX_transcriptome_v1_Contig_2150	2364	2171
QPX_transcriptome_v1_Contig_2151	12829	9310
QPX_transcriptome_v1_Contig_2152	2934	1380
QPX_transcriptome_v1_Contig_2153	3765	1818
QPX_transcriptome_v1_Contig_2154	13160	12330
QPX_transcriptome_v1_Contig_2155	4979	1635
QPX_transcriptome_v1_Contig_2156	1727	611
QPX_transcriptome_v1_Contig_2157	6999	5141
QPX_transcriptome_v1_Contig_2158	2976	1399
QPX_transcriptome_v1_Contig_2159	2125	548
QPX_transcriptome_v1_Contig_216	1198	776
QPX_transcriptome_v1_Contig_2160	384	242
QPX_transcriptome_v1_Contig_2161	3738	1853
QPX_transcriptome_v1_Contig_2162	446	498
QPX_transcriptome_v1_Contig_2163	3575	1552
QPX_transcriptome_v1_Contig_2164	2024	1066
QPX_transcriptome_v1_Contig_2165	14109	4705
QPX_transcriptome_v1_Contig_2166	2617	834
QPX_transcriptome_v1_Contig_2167	479	216
QPX_transcriptome_v1_Contig_2168	242	154
QPX_transcriptome_v1_Contig_2169	311	205
QPX_transcriptome_v1_Contig_217	914	495
QPX_transcriptome_v1_Contig_2170	428	376
QPX_transcriptome_v1_Contig_2171	1271	398
QPX_transcriptome_v1_Contig_2172	13822	6928
QPX_transcriptome_v1_Contig_2173	1889	818
QPX_transcriptome_v1_Contig_2174	4552	3786
QPX_transcriptome_v1_Contig_2175	1407	331
QPX_transcriptome_v1_Contig_2176	2229	851
QPX_transcriptome_v1_Contig_2177	694	272
QPX_transcriptome_v1_Contig_2178	6564	3756
QPX_transcriptome_v1_Contig_2179	10148	5103
QPX_transcriptome_v1_Contig_218	895	454
QPX_transcriptome_v1_Contig_2180	1338	1240
QPX_transcriptome_v1_Contig_2181	1682	274
QPX_transcriptome_v1_Contig_2182	3203	1169
QPX_transcriptome_v1_Contig_2183	1908	1149
QPX_transcriptome_v1_Contig_2184	12551	10007
QPX_transcriptome_v1_Contig_2185	913	279
QPX_transcriptome_v1_Contig_2186	3926	1657
QPX_transcriptome_v1_Contig_2187	1005	265
QPX_transcriptome_v1_Contig_2188	908	532
QPX_transcriptome_v1_Contig_2189	1783	567
QPX_transcriptome_v1_Contig_219	1320	528
QPX_transcriptome_v1_Contig_2190	1914	685
QPX_transcriptome_v1_Contig_2191	1665	1302
QPX_transcriptome_v1_Contig_2192	4756	2443
QPX_transcriptome_v1_Contig_2193	3872	1393
QPX_transcriptome_v1_Contig_2194	1102	675
QPX_transcriptome_v1_Contig_2195	341	102
QPX_transcriptome_v1_Contig_2196	3146	2113
QPX_transcriptome_v1_Contig_2197	1474	901
QPX_transcriptome_v1_Contig_2198	1880	378
QPX_transcriptome_v1_Contig_2199	4405	1659
QPX_transcriptome_v1_Contig_22	133981	69748
QPX_transcriptome_v1_Contig_220	3519	3596
QPX_transcriptome_v1_Contig_2200	1618	1071
QPX_transcriptome_v1_Contig_2201	588	436
QPX_transcriptome_v1_Contig_2202	6001	4345
QPX_transcriptome_v1_Contig_2203	903	380
QPX_transcriptome_v1_Contig_2204	1423	468
QPX_transcriptome_v1_Contig_2205	5458	1742
QPX_transcriptome_v1_Contig_2206	2455	1212
QPX_transcriptome_v1_Contig_2207	1558	1477
QPX_transcriptome_v1_Contig_2208	3754	2671
QPX_transcriptome_v1_Contig_2209	1064	1020
QPX_transcriptome_v1_Contig_221	5352	4023
QPX_transcriptome_v1_Contig_2210	978	700
QPX_transcriptome_v1_Contig_2211	326	173
QPX_transcriptome_v1_Contig_2212	3957	2299
QPX_transcriptome_v1_Contig_2213	5400	3639
QPX_transcriptome_v1_Contig_2214	278	106
QPX_transcriptome_v1_Contig_2215	2576	1624
QPX_transcriptome_v1_Contig_2216	4804	3004
QPX_transcriptome_v1_Contig_2217	875	340
QPX_transcriptome_v1_Contig_2218	102	194
QPX_transcriptome_v1_Contig_2219	231	104
QPX_transcriptome_v1_Contig_222	943	403
QPX_transcriptome_v1_Contig_2220	1015	429
QPX_transcriptome_v1_Contig_2221	83	103
QPX_transcriptome_v1_Contig_2222	928	284
QPX_transcriptome_v1_Contig_2223	6339	4596
QPX_transcriptome_v1_Contig_2224	2645	293
QPX_transcriptome_v1_Contig_2225	1456	710
QPX_transcriptome_v1_Contig_2226	197	137
QPX_transcriptome_v1_Contig_2227	617	567
QPX_transcriptome_v1_Contig_2228	473	265
QPX_transcriptome_v1_Contig_2229	1434	1051
QPX_transcriptome_v1_Contig_223	214	134
QPX_transcriptome_v1_Contig_2230	9539	2323
QPX_transcriptome_v1_Contig_2231	1184	645
QPX_transcriptome_v1_Contig_2232	1350	524
QPX_transcriptome_v1_Contig_2233	5873	4437
QPX_transcriptome_v1_Contig_2234	714	327
QPX_transcriptome_v1_Contig_2235	541	578
QPX_transcriptome_v1_Contig_2236	443	224
QPX_transcriptome_v1_Contig_2237	5670	2767
QPX_transcriptome_v1_Contig_2238	276	274
QPX_transcriptome_v1_Contig_2239	963	409
QPX_transcriptome_v1_Contig_224	19938	13517
QPX_transcriptome_v1_Contig_2240	1987	1173
QPX_transcriptome_v1_Contig_2241	2839	1802
QPX_transcriptome_v1_Contig_2242	437	370
QPX_transcriptome_v1_Contig_2243	5797	1803
QPX_transcriptome_v1_Contig_2244	2887	3205
QPX_transcriptome_v1_Contig_2245	982	621
QPX_transcriptome_v1_Contig_2246	3517	1887
QPX_transcriptome_v1_Contig_2247	2931	1553
QPX_transcriptome_v1_Contig_2248	636	225
QPX_transcriptome_v1_Contig_2249	4645	1306
QPX_transcriptome_v1_Contig_225	17705	8324
QPX_transcriptome_v1_Contig_2250	6331	3746
QPX_transcriptome_v1_Contig_2251	7744	4904
QPX_transcriptome_v1_Contig_2252	239	205
QPX_transcriptome_v1_Contig_2253	6181	2018
QPX_transcriptome_v1_Contig_2254	877	282
QPX_transcriptome_v1_Contig_2255	1488	559
QPX_transcriptome_v1_Contig_2256	703	382
QPX_transcriptome_v1_Contig_2257	2176	546
QPX_transcriptome_v1_Contig_2258	855	238
QPX_transcriptome_v1_Contig_2259	4908	2931
QPX_transcriptome_v1_Contig_226	4485	1886
QPX_transcriptome_v1_Contig_2260	2231	2904
QPX_transcriptome_v1_Contig_2261	892	593
QPX_transcriptome_v1_Contig_2262	11278	3439
QPX_transcriptome_v1_Contig_2263	925	407
QPX_transcriptome_v1_Contig_2264	743	478
QPX_transcriptome_v1_Contig_2265	996	417
QPX_transcriptome_v1_Contig_2266	1308	806
QPX_transcriptome_v1_Contig_2267	4654	1941
QPX_transcriptome_v1_Contig_2268	4624	1936
QPX_transcriptome_v1_Contig_2269	1781	956
QPX_transcriptome_v1_Contig_227	3425	2829
QPX_transcriptome_v1_Contig_2270	755	380
QPX_transcriptome_v1_Contig_2271	5600	2483
QPX_transcriptome_v1_Contig_2272	1621	978
QPX_transcriptome_v1_Contig_2273	6955	4104
QPX_transcriptome_v1_Contig_2274	1436	1156
QPX_transcriptome_v1_Contig_2275	5278	3660
QPX_transcriptome_v1_Contig_2276	425	279
QPX_transcriptome_v1_Contig_2277	604	299
QPX_transcriptome_v1_Contig_2278	3297	957
QPX_transcriptome_v1_Contig_2279	5907	2321
QPX_transcriptome_v1_Contig_228	6303	3018
QPX_transcriptome_v1_Contig_2280	1510	943
QPX_transcriptome_v1_Contig_2281	1844	2647
QPX_transcriptome_v1_Contig_2282	556	224
QPX_transcriptome_v1_Contig_2283	3799	1760
QPX_transcriptome_v1_Contig_2284	3284	1345
QPX_transcriptome_v1_Contig_2285	2560	182
QPX_transcriptome_v1_Contig_2286	308	146
QPX_transcriptome_v1_Contig_2287	9120	8359
QPX_transcriptome_v1_Contig_2288	1609	814
QPX_transcriptome_v1_Contig_2289	1904	1432
QPX_transcriptome_v1_Contig_229	2103	1025
QPX_transcriptome_v1_Contig_2290	1879	719
QPX_transcriptome_v1_Contig_2291	480	320
QPX_transcriptome_v1_Contig_2292	711	375
QPX_transcriptome_v1_Contig_2293	10178	7761
QPX_transcriptome_v1_Contig_2294	3447	2192
QPX_transcriptome_v1_Contig_2295	1589	663
QPX_transcriptome_v1_Contig_2296	1340	364
QPX_transcriptome_v1_Contig_2297	739	302
QPX_transcriptome_v1_Contig_2298	1538	564
QPX_transcriptome_v1_Contig_2299	3807	1787
QPX_transcriptome_v1_Contig_23	960	544
QPX_transcriptome_v1_Contig_230	3900	3249
QPX_transcriptome_v1_Contig_2300	131	99
QPX_transcriptome_v1_Contig_2301	4161	2420
QPX_transcriptome_v1_Contig_2302	2090	1248
QPX_transcriptome_v1_Contig_2303	9580	2829
QPX_transcriptome_v1_Contig_2304	2573	539
QPX_transcriptome_v1_Contig_2305	6304	3499
QPX_transcriptome_v1_Contig_2306	4259	1406
QPX_transcriptome_v1_Contig_2307	202	256
QPX_transcriptome_v1_Contig_2308	3520	3509
QPX_transcriptome_v1_Contig_2309	3973	3282
QPX_transcriptome_v1_Contig_231	10347	7925
QPX_transcriptome_v1_Contig_2310	709	318
QPX_transcriptome_v1_Contig_2311	4499	1767
QPX_transcriptome_v1_Contig_2312	510	214
QPX_transcriptome_v1_Contig_2313	5732	6124
QPX_transcriptome_v1_Contig_2314	446	370
QPX_transcriptome_v1_Contig_2315	643	225
QPX_transcriptome_v1_Contig_2316	3185	1563
QPX_transcriptome_v1_Contig_2317	5123	2054
QPX_transcriptome_v1_Contig_2318	4214	4038
QPX_transcriptome_v1_Contig_2319	11507	5171
QPX_transcriptome_v1_Contig_232	43251	20421
QPX_transcriptome_v1_Contig_2320	2400	1029
QPX_transcriptome_v1_Contig_2321	3203	1863
QPX_transcriptome_v1_Contig_2322	935	532
QPX_transcriptome_v1_Contig_2323	707	297
QPX_transcriptome_v1_Contig_2324	1765	1060
QPX_transcriptome_v1_Contig_2325	915	498
QPX_transcriptome_v1_Contig_2326	533	302
QPX_transcriptome_v1_Contig_2327	4138	3980
QPX_transcriptome_v1_Contig_2328	176	103
QPX_transcriptome_v1_Contig_2329	5220	2152
QPX_transcriptome_v1_Contig_233	56185	21045
QPX_transcriptome_v1_Contig_2330	7239	2237
QPX_transcriptome_v1_Contig_2331	5377	5064
QPX_transcriptome_v1_Contig_2332	1963	701
QPX_transcriptome_v1_Contig_2333	4981	2085
QPX_transcriptome_v1_Contig_2334	982	335
QPX_transcriptome_v1_Contig_2335	7446	4001
QPX_transcriptome_v1_Contig_2336	3258	1734
QPX_transcriptome_v1_Contig_2337	7112	2256
QPX_transcriptome_v1_Contig_2338	1152	1257
QPX_transcriptome_v1_Contig_2339	1003	295
QPX_transcriptome_v1_Contig_234	915	596
QPX_transcriptome_v1_Contig_2340	4925	2292
QPX_transcriptome_v1_Contig_2341	1535	780
QPX_transcriptome_v1_Contig_2342	7936	2046
QPX_transcriptome_v1_Contig_2343	1421	336
QPX_transcriptome_v1_Contig_2344	1846	635
QPX_transcriptome_v1_Contig_2345	5264	1573
QPX_transcriptome_v1_Contig_2346	609	214
QPX_transcriptome_v1_Contig_2347	426	325
QPX_transcriptome_v1_Contig_2348	3976	2095
QPX_transcriptome_v1_Contig_2349	6067	2641
QPX_transcriptome_v1_Contig_235	1649	1020
QPX_transcriptome_v1_Contig_2350	670	672
QPX_transcriptome_v1_Contig_2351	257	93
QPX_transcriptome_v1_Contig_2352	1343	1175
QPX_transcriptome_v1_Contig_2353	15967	4632
QPX_transcriptome_v1_Contig_2354	1738	1047
QPX_transcriptome_v1_Contig_2355	965	893
QPX_transcriptome_v1_Contig_2356	853	503
QPX_transcriptome_v1_Contig_2357	658	312
QPX_transcriptome_v1_Contig_2358	2455	1139
QPX_transcriptome_v1_Contig_2359	4275	1848
QPX_transcriptome_v1_Contig_236	1409	360
QPX_transcriptome_v1_Contig_2360	2211	1564
QPX_transcriptome_v1_Contig_2361	5806	4732
QPX_transcriptome_v1_Contig_2362	425	125
QPX_transcriptome_v1_Contig_2363	6080	2002
QPX_transcriptome_v1_Contig_2364	743	340
QPX_transcriptome_v1_Contig_2365	4319	904
QPX_transcriptome_v1_Contig_2366	464	249
QPX_transcriptome_v1_Contig_2367	4561	1998
QPX_transcriptome_v1_Contig_2368	6201	4191
QPX_transcriptome_v1_Contig_2369	4193	954
QPX_transcriptome_v1_Contig_237	2392	1543
QPX_transcriptome_v1_Contig_2370	4838	2513
QPX_transcriptome_v1_Contig_2371	408	256
QPX_transcriptome_v1_Contig_2372	2901	1204
QPX_transcriptome_v1_Contig_2373	1203	684
QPX_transcriptome_v1_Contig_2374	1654	602
QPX_transcriptome_v1_Contig_2375	5060	1455
QPX_transcriptome_v1_Contig_2376	8154	5256
QPX_transcriptome_v1_Contig_2377	9376	4181
QPX_transcriptome_v1_Contig_2378	5998	3474
QPX_transcriptome_v1_Contig_2379	3040	2325
QPX_transcriptome_v1_Contig_238	36610	18443
QPX_transcriptome_v1_Contig_2380	1750	341
QPX_transcriptome_v1_Contig_2381	362	241
QPX_transcriptome_v1_Contig_2382	6968	3458
QPX_transcriptome_v1_Contig_2383	427	175
QPX_transcriptome_v1_Contig_2384	659	178
QPX_transcriptome_v1_Contig_2385	7902	3941
QPX_transcriptome_v1_Contig_2386	2620	1683
QPX_transcriptome_v1_Contig_2387	7665	5375
QPX_transcriptome_v1_Contig_2388	4595	2705
QPX_transcriptome_v1_Contig_2389	13519	3928
QPX_transcriptome_v1_Contig_239	10168	6689
QPX_transcriptome_v1_Contig_2390	8006	3485
QPX_transcriptome_v1_Contig_2391	11526	5947
QPX_transcriptome_v1_Contig_2392	1960	405
QPX_transcriptome_v1_Contig_2393	755	246
QPX_transcriptome_v1_Contig_2394	13424	4546
QPX_transcriptome_v1_Contig_2395	2167	1649
QPX_transcriptome_v1_Contig_2396	1548	499
QPX_transcriptome_v1_Contig_2397	1498	336
QPX_transcriptome_v1_Contig_2398	907	351
QPX_transcriptome_v1_Contig_2399	5074	1929
QPX_transcriptome_v1_Contig_24	442	88
QPX_transcriptome_v1_Contig_240	123218	70959
QPX_transcriptome_v1_Contig_2400	337	168
QPX_transcriptome_v1_Contig_2401	1876	484
QPX_transcriptome_v1_Contig_2402	901	232
QPX_transcriptome_v1_Contig_2403	7142	2746
QPX_transcriptome_v1_Contig_2404	3241	923
QPX_transcriptome_v1_Contig_2405	381	235
QPX_transcriptome_v1_Contig_2406	9322	2615
QPX_transcriptome_v1_Contig_2407	1727	897
QPX_transcriptome_v1_Contig_2408	3200	1963
QPX_transcriptome_v1_Contig_2409	4476	1443
QPX_transcriptome_v1_Contig_241	5974	3989
QPX_transcriptome_v1_Contig_2410	5826	2036
QPX_transcriptome_v1_Contig_2411	2109	1145
QPX_transcriptome_v1_Contig_2412	3687	1817
QPX_transcriptome_v1_Contig_2413	840	491
QPX_transcriptome_v1_Contig_2414	1502	405
QPX_transcriptome_v1_Contig_2415	11767	3603
QPX_transcriptome_v1_Contig_2416	901	371
QPX_transcriptome_v1_Contig_2417	924	632
QPX_transcriptome_v1_Contig_2418	1135	701
QPX_transcriptome_v1_Contig_2419	9199	2315
QPX_transcriptome_v1_Contig_242	1789	912
QPX_transcriptome_v1_Contig_2420	4928	2405
QPX_transcriptome_v1_Contig_2421	2494	1644
QPX_transcriptome_v1_Contig_2422	1531	262
QPX_transcriptome_v1_Contig_2423	3025	2169
QPX_transcriptome_v1_Contig_2424	9498	7386
QPX_transcriptome_v1_Contig_2425	186	53
QPX_transcriptome_v1_Contig_2426	1929	531
QPX_transcriptome_v1_Contig_2427	7897	2851
QPX_transcriptome_v1_Contig_2428	253	114
QPX_transcriptome_v1_Contig_2429	345	342
QPX_transcriptome_v1_Contig_243	728	318
QPX_transcriptome_v1_Contig_2430	1984	881
QPX_transcriptome_v1_Contig_2431	2752	1383
QPX_transcriptome_v1_Contig_2432	888	217
QPX_transcriptome_v1_Contig_2433	7761	1820
QPX_transcriptome_v1_Contig_2434	5870	2021
QPX_transcriptome_v1_Contig_2435	2711	1190
QPX_transcriptome_v1_Contig_2436	2454	1311
QPX_transcriptome_v1_Contig_2437	3641	4173
QPX_transcriptome_v1_Contig_2438	797	262
QPX_transcriptome_v1_Contig_2439	430	184
QPX_transcriptome_v1_Contig_244	7833	3836
QPX_transcriptome_v1_Contig_2440	1920	1261
QPX_transcriptome_v1_Contig_2441	2034	1411
QPX_transcriptome_v1_Contig_2442	937	583
QPX_transcriptome_v1_Contig_2443	993	358
QPX_transcriptome_v1_Contig_2444	388	142
QPX_transcriptome_v1_Contig_2445	3602	1455
QPX_transcriptome_v1_Contig_2446	3356	1411
QPX_transcriptome_v1_Contig_2447	2324	1554
QPX_transcriptome_v1_Contig_2448	15674	6115
QPX_transcriptome_v1_Contig_2449	3153	1689
QPX_transcriptome_v1_Contig_245	8839	4271
QPX_transcriptome_v1_Contig_2450	1734	1724
QPX_transcriptome_v1_Contig_2451	2451	980
QPX_transcriptome_v1_Contig_2452	7380	3273
QPX_transcriptome_v1_Contig_2453	574	288
QPX_transcriptome_v1_Contig_2454	1839	666
QPX_transcriptome_v1_Contig_2455	123	40
QPX_transcriptome_v1_Contig_2456	389	220
QPX_transcriptome_v1_Contig_2457	1350	821
QPX_transcriptome_v1_Contig_2458	4449	2738
QPX_transcriptome_v1_Contig_2459	131	105
QPX_transcriptome_v1_Contig_246	4852	3158
QPX_transcriptome_v1_Contig_2460	2953	2337
QPX_transcriptome_v1_Contig_2461	3284	1911
QPX_transcriptome_v1_Contig_2462	691	371
QPX_transcriptome_v1_Contig_2463	1417	522
QPX_transcriptome_v1_Contig_2464	12233	17340
QPX_transcriptome_v1_Contig_2465	1191	340
QPX_transcriptome_v1_Contig_2466	2557	1151
QPX_transcriptome_v1_Contig_2467	521	236
QPX_transcriptome_v1_Contig_2468	2214	533
QPX_transcriptome_v1_Contig_2469	5232	5357
QPX_transcriptome_v1_Contig_247	77223	27553
QPX_transcriptome_v1_Contig_2470	6164	3552
QPX_transcriptome_v1_Contig_2471	848	425
QPX_transcriptome_v1_Contig_2472	8146	3125
QPX_transcriptome_v1_Contig_2473	1077	561
QPX_transcriptome_v1_Contig_2474	7847	3175
QPX_transcriptome_v1_Contig_2475	4907	1704
QPX_transcriptome_v1_Contig_2476	163	119
QPX_transcriptome_v1_Contig_2477	1880	1091
QPX_transcriptome_v1_Contig_2478	2339	649
QPX_transcriptome_v1_Contig_2479	3325	1261
QPX_transcriptome_v1_Contig_248	18873	8392
QPX_transcriptome_v1_Contig_2480	11474	5394
QPX_transcriptome_v1_Contig_2481	6734	7853
QPX_transcriptome_v1_Contig_2482	3406	1098
QPX_transcriptome_v1_Contig_2483	3940	4256
QPX_transcriptome_v1_Contig_2484	947	236
QPX_transcriptome_v1_Contig_2485	1875	1633
QPX_transcriptome_v1_Contig_2486	90	194
QPX_transcriptome_v1_Contig_2487	29333	9380
QPX_transcriptome_v1_Contig_2488	2278	370
QPX_transcriptome_v1_Contig_2489	2890	2278
QPX_transcriptome_v1_Contig_249	1162	860
QPX_transcriptome_v1_Contig_2490	3236	1346
QPX_transcriptome_v1_Contig_2491	2781	1211
QPX_transcriptome_v1_Contig_2492	327	291
QPX_transcriptome_v1_Contig_2493	7469	4471
QPX_transcriptome_v1_Contig_2494	1512	875
QPX_transcriptome_v1_Contig_2495	441	196
QPX_transcriptome_v1_Contig_2496	1465	633
QPX_transcriptome_v1_Contig_2497	2020	1103
QPX_transcriptome_v1_Contig_2498	1683	1346
QPX_transcriptome_v1_Contig_2499	9308	3105
QPX_transcriptome_v1_Contig_25	3575	2441
QPX_transcriptome_v1_Contig_250	2537	979
QPX_transcriptome_v1_Contig_2500	2310	802
QPX_transcriptome_v1_Contig_2501	1248	663
QPX_transcriptome_v1_Contig_2502	1154	580
QPX_transcriptome_v1_Contig_2503	680	214
QPX_transcriptome_v1_Contig_2504	1752	679
QPX_transcriptome_v1_Contig_2505	1673	553
QPX_transcriptome_v1_Contig_2506	2090	849
QPX_transcriptome_v1_Contig_2507	4586	3283
QPX_transcriptome_v1_Contig_2508	1385	967
QPX_transcriptome_v1_Contig_2509	979	440
QPX_transcriptome_v1_Contig_251	4774	1678
QPX_transcriptome_v1_Contig_2510	3587	1116
QPX_transcriptome_v1_Contig_2511	963	273
QPX_transcriptome_v1_Contig_2512	3899	1878
QPX_transcriptome_v1_Contig_2513	4371	1500
QPX_transcriptome_v1_Contig_2514	6796	6470
QPX_transcriptome_v1_Contig_2515	690	328
QPX_transcriptome_v1_Contig_2516	2020	859
QPX_transcriptome_v1_Contig_2517	1617	827
QPX_transcriptome_v1_Contig_2518	376	321
QPX_transcriptome_v1_Contig_2519	978	297
QPX_transcriptome_v1_Contig_252	25591	13048
QPX_transcriptome_v1_Contig_2520	1323	599
QPX_transcriptome_v1_Contig_2521	839	441
QPX_transcriptome_v1_Contig_2522	1952	956
QPX_transcriptome_v1_Contig_2523	847	453
QPX_transcriptome_v1_Contig_2524	2403	3629
QPX_transcriptome_v1_Contig_2525	2713	892
QPX_transcriptome_v1_Contig_2526	1195	864
QPX_transcriptome_v1_Contig_2527	629	78
QPX_transcriptome_v1_Contig_2528	2782	1103
QPX_transcriptome_v1_Contig_2529	1369	618
QPX_transcriptome_v1_Contig_253	15005	7355
QPX_transcriptome_v1_Contig_2530	1664	781
QPX_transcriptome_v1_Contig_2531	108	75
QPX_transcriptome_v1_Contig_2532	2361	1586
QPX_transcriptome_v1_Contig_2533	3915	603
QPX_transcriptome_v1_Contig_2534	2878	1458
QPX_transcriptome_v1_Contig_2535	2582	1060
QPX_transcriptome_v1_Contig_2536	4401	2038
QPX_transcriptome_v1_Contig_2537	3907	897
QPX_transcriptome_v1_Contig_2538	7238	2278
QPX_transcriptome_v1_Contig_2539	1331	654
QPX_transcriptome_v1_Contig_254	17193	15683
QPX_transcriptome_v1_Contig_2540	434	190
QPX_transcriptome_v1_Contig_2541	3145	3102
QPX_transcriptome_v1_Contig_2542	141	86
QPX_transcriptome_v1_Contig_2543	1250	718
QPX_transcriptome_v1_Contig_2544	216	154
QPX_transcriptome_v1_Contig_2545	4368	2602
QPX_transcriptome_v1_Contig_2546	1301	473
QPX_transcriptome_v1_Contig_2547	514	122
QPX_transcriptome_v1_Contig_2548	2680	1155
QPX_transcriptome_v1_Contig_2549	5693	1599
QPX_transcriptome_v1_Contig_255	15653	3299
QPX_transcriptome_v1_Contig_2550	2857	4578
QPX_transcriptome_v1_Contig_2551	4053	2909
QPX_transcriptome_v1_Contig_2552	5953	1346
QPX_transcriptome_v1_Contig_2553	6506	2564
QPX_transcriptome_v1_Contig_2554	1442	657
QPX_transcriptome_v1_Contig_2555	2724	1052
QPX_transcriptome_v1_Contig_2556	1974	1541
QPX_transcriptome_v1_Contig_2557	5387	2222
QPX_transcriptome_v1_Contig_2558	277	427
QPX_transcriptome_v1_Contig_2559	372	554
QPX_transcriptome_v1_Contig_256	15368	5728
QPX_transcriptome_v1_Contig_2560	4312	2356
QPX_transcriptome_v1_Contig_2561	225	63
QPX_transcriptome_v1_Contig_2562	8351	3039
QPX_transcriptome_v1_Contig_2563	2056	1264
QPX_transcriptome_v1_Contig_2564	1318	769
QPX_transcriptome_v1_Contig_2565	1654	918
QPX_transcriptome_v1_Contig_2566	3071	872
QPX_transcriptome_v1_Contig_2567	5673	2831
QPX_transcriptome_v1_Contig_2568	2847	873
QPX_transcriptome_v1_Contig_2569	1553	221
QPX_transcriptome_v1_Contig_257	1124	192
QPX_transcriptome_v1_Contig_2570	5450	1873
QPX_transcriptome_v1_Contig_2571	10984	5654
QPX_transcriptome_v1_Contig_2572	2277	1160
QPX_transcriptome_v1_Contig_2573	3208	1647
QPX_transcriptome_v1_Contig_2574	850	517
QPX_transcriptome_v1_Contig_2575	422	111
QPX_transcriptome_v1_Contig_2576	130	105
